Eli Lily ,,,,
Target City / Region,Airport Code,Event / Signal,Critical Date Window (Flight Check),The News (Announcement)
"Waltham, MA",BED,Acq: Morphic Holding,"May 15, 2024 – July 1, 2024","Announce: July 8, 2024"
"Pleasant Prairie, WI",ENW / MKE,New Factory (Nexus),"Feb 1, 2024 – April 1, 2024","Announce: April 22, 2024"
"South San Francisco, CA",SFO,Acq: DICE Therapeutics,"May 1, 2023 – June 15, 2023","Announce: June 20, 2023"
"Oakland, CA",OAK,Acq: Versanis Bio,"June 1, 2023 – July 10, 2023","Announce: July 14, 2023"
"Cambridge, MA",BED,Acq: Sigilon Therapeutics,"May 15, 2023 – June 25, 2023","Announce: June 29, 2023"
"Kenosha, WI",ENW,Factory Expansion ($3B),"Oct 1, 2024 – Nov 30, 2024","Announce: Dec 5, 2024"
,,,,
AbbVie ,,,,
Target City / Region,Airport Code,Event / Signal,Critical Date Window (Flight Check),The News (Announcement)
"Blacksburg, VA",ROA / BCB,Acq: Landos Biopharma,"Feb 1, 2024 – March 15, 2024","Announce: March 25, 2024"
"Boston, MA",BED,Acq: Aliada Therapeutics,"Sept 1, 2024 – Oct 20, 2024","Announce: Oct 28, 2024"
"San Diego, CA",SAN / CRQ,Acq: Capstan Therapeutics,"June 15, 2025 – Aug 10, 2025","Announce: Aug 19, 2025"
"Tempe, AZ",PHX / SDL,Factory Acq (West Pharma),"Nov 1, 2025 – Dec 30, 2025","Announce: Jan 12, 2026"
"Cambridge, MA",BED,Acq: Celsius Therapeutics,"May 1, 2024 – June 20, 2024","Announce: June 27, 2024"
"Waltham, MA",BED,Acq: ImmunoGen,"Oct 15, 2023 – Nov 25, 2023","Announce: Nov 30, 2023"
"Wilmington, DE",ILG,Patent Lit (Dr. Reddy's),Active Now (2025–2026),Case: 3:25-cv-19039
,,,,
Regeneron ,,,,
Target City / Region,Airport Code,Event / Signal,Critical Date Window (Flight Check),The News (Announcement)
"Bloomington, IN",BMG,FDA Crisis (Catalent),"June 1, 2025 – July 15, 2025",Inspection Failed: Oct 2025
"Bloomington, IN",BMG,Crisis Remediation,"Nov 1, 2025 – Jan 2026",Ongoing Fixes
"Oxford, UK",OXF / LTN,Acq: Oxular Limited,"Nov 1, 2024 – Dec 15, 2024","Announce: Jan 2, 2025"
"Sunnyvale, CA",SJC,Asset Buy: 23andMe,"March 15, 2025 – May 10, 2025","Announce: May 19, 2025"
"Clarksburg, WV",CKB,Eylea Patent Trial,"June 10, 2023 – June 20, 2023",Trial Dates
"Munich, Germany",MUC,EU Patent Court (UPC),"July 1, 2024 – July 15, 2024","Decision: July 16, 2024"
