location,company,relevance
St. Paul (STP),regeneron,"**Exploring partnerships, acquisitions, clinical trial sites.**"
Orlando (SFB),regeneron,"Executive travel for meetings, conferences, leisure."
El Paso (ELP),regeneron,Exploring research partnerships or clinical trials.
San Jose del Cabo (SJD),regeneron,"Destination for executive leisure, company retreats."
Van Nuys (VNY),regeneron,Accessing LA's biotech and business hub.
Scottsdale (SCF),regeneron,"Executive meetings, retreats, conferences, or vacation."
Honolulu (HNL),regeneron,No direct business relevance; executive travel.
Kahului (OGG),regeneron,Corporate retreat or executive leisure destination.
Seattle (BFI),regeneron,Seeking new biotech and tech partnerships.
Vancouver (YVR),regeneron,Vancouver's strong biotech sector offers partnerships.
San Jose (SJC),regeneron,"Silicon Valley biotech, tech partnerships, talent."
San Diego (SAN),regeneron,Strategic biotech research and partnerships hub.
Pendleton (PDT),regeneron,"**Executive personal travel, likely for leisure.**"
San Francisco (SFO),regeneron,Error fetching relevance
Miami (OPF),regeneron,Error fetching relevance
Jacksonville (JAX),regeneron,Error fetching relevance
Liberia (LIR),regeneron,Error fetching relevance
Naples (APF),regeneron,Error fetching relevance
Nashville (BNA),regeneron,Error fetching relevance
Chicago (MDW),regeneron,Error fetching relevance
Bedford (BED),regeneron,Error fetching relevance
Teterboro (TEB),regeneron,Error fetching relevance
Jackson (JAC),regeneron,Error fetching relevance
Atlanta (PDK),regeneron,Error fetching relevance
Toledo (TOL),regeneron,Error fetching relevance
Cleveland (CLE),regeneron,Error fetching relevance
Key West (EYW),regeneron,Error fetching relevance
North Eleuthera (ELH),regeneron,Error fetching relevance
White Plains (HPN),regeneron,Error fetching relevance
Sint Maarten (SXM),regeneron,Error fetching relevance
San Juan (SJU),regeneron,Error fetching relevance
Raleigh-Durham (RDU),regeneron,Error fetching relevance
McKinney (QQT),regeneron,Error fetching relevance
Antigua (ANU),regeneron,Error fetching relevance
Bozeman (BZN),regeneron,Error fetching relevance
Kailua-Kona (KOA),regeneron,Error fetching relevance
Ontario (ONT),regeneron,Error fetching relevance
Phoenix (PHX),regeneron,Error fetching relevance
Midland (MAF),regeneron,Error fetching relevance
Laredo (LRD),regeneron,Error fetching relevance
Cabo San Lucas (CSL),regeneron,Error fetching relevance
Austin (AUS),regeneron,Error fetching relevance
Salt Lake City (SLC),regeneron,Error fetching relevance
Tampa (TPA),regeneron,Error fetching relevance
Miami (TMB),regeneron,Error fetching relevance
West Palm Beach (PBI),regeneron,Error fetching relevance
Boca Raton (BCT),regeneron,Error fetching relevance
St. Louis (SUS),regeneron,Error fetching relevance
Miami (MIA),regeneron,Error fetching relevance
Orlando (ORL),regeneron,Error fetching relevance
Charlotte (CLT),regeneron,Error fetching relevance
